City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
Percent,"79,139",8.70%,7.80%,10.80%,8.20%,8.90%,14.40%,14.40%,12.00%,4.90%,4.10%,4.40%,1.20%,0.20%
"Pittsburg city, California",,,,,,,,,,,,,,
Estimate,"72,443","5,088","5,884","5,479","4,002","6,077","10,776","11,664","7,843","4,335","4,269","4,098","2,459",469
Percent,"72,443",7.00%,8.10%,7.60%,5.50%,8.40%,14.90%,16.10%,10.80%,6.00%,5.90%,5.70%,3.40%,0.60%
"Pleasanton city, California",,,,,,,,,,,,,,
Estimate,"82,377","3,617","6,462","7,132","5,669","2,584","8,974","11,962","13,384","5,427","4,732","7,209","3,999","1,226"
Percent,"82,377",4.40%,7.80%,8.70%,6.90%,3.10%,10.90%,14.50%,16.20%,6.60%,5.70%,8.80%,4.90%,1.50%
"Pomona city, California",,,,,,,,,,,,,,
Estimate,"152,348","11,645","9,093","11,938","13,274","15,115","21,127","20,101","19,408","6,004","7,662","9,367","5,311","2,303"
Percent,"152,348",7.60%,6.00%,7.80%,8.70%,9.90%,13.90%,13.20%,12.70%,3.90%,5.00%,6.10%,3.50%,1.50%
"Rancho Cordova city, California",,,,,,,,,,,,,,
Estimate,"74,590","5,306","5,188","4,259","3,843","3,928","10,425","10,785","8,767","5,526","4,566","6,801","4,014","1,182"
Percent,"74,590",7.10%,7.00%,5.70%,5.20%,5.30%,14.00%,14.50%,11.80%,7.40%,6.10%,9.10%,5.40%,1.60%
"Rancho Cucamonga city, California",,,,,,,,,,,,,,
Estimate,"177,742","12,427","9,654","13,303","11,359","10,363","29,047","22,052","24,123","12,910","10,131","14,115","6,352","1,906"
Percent,"177,742",7.00%,5.40%,7.50%,6.40%,5.80%,16.30%,12.40%,13.60%,7.30%,5.70%,7.90%,3.60%,1.10%
"Redding city, California",,,,,,,,,,,,,,
Estimate,"91,777","4,738","6,556","4,665","5,282","6,163","13,437","11,319","11,264","5,914","5,715","9,404","4,811","2,509"
Percent,"91,777",5.20%,7.10%,5.10%,5.80%,6.70%,14.60%,12.30%,12.30%,6.40%,6.20%,10.20%,5.20%,2.70%
"Redlands city, California",,,,,,,,,,,,,,
Estimate,"71,595","3,901","3,406","4,565","5,773","4,443","10,787","9,134","7,731","4,478","5,617","6,939","3,007","1,814"
Percent,"71,595",5.40%,4.80%,6.40%,8.10%,6.20%,15.10%,12.80%,10.80%,6.30%,7.80%,9.70%,4.20%,2.50%
"Redondo Beach city, California",,,,,,,,,,,,,,
Estimate,"67,396","3,700","5,189","4,014","3,653","1,964","8,046","11,324","11,353","5,483","3,611","5,861","2,375",823
Percent,"67,396",5.50%,7.70%,6.00%,5.40%,2.90%,11.90%,16.80%,16.80%,8.10%,5.40%,8.70%,3.50%,1.20%
"Redwood City city, California",,,,,,,,,,,,,,
Estimate,"86,186","4,690","4,210","5,797","4,591","5,775","13,214","14,667","11,620","4,834","4,325","7,989","2,554","1,920"
Percent,"86,186",5.40%,4.90%,6.70%,5.30%,6.70%,15.30%,17.00%,13.50%,5.60%,5.00%,9.30%,3.00%,2.20%
"Rialto city, California",,,,,,,,,,,,,,
Estimate,"103,446","7,902","7,910","7,499","8,293","10,434","14,429","12,281","10,693","5,450","5,763","7,951","3,924",917
Percent,"103,446",7.60%,7.60%,7.20%,8.00%,10.10%,13.90%,11.90%,10.30%,5.30%,5.60%,7.70%,3.80%,0.90%
"Richmond city, California",,,,,,,,,,,,,,
Estimate,"110,175","6,988","6,878","6,017","6,788","7,313","21,541","13,168","14,131","5,769","6,522","9,774","3,215","2,071"
Percent,"110,175",6.30%,6.20%,5.50%,6.20%,6.60%,19.60%,12.00%,12.80%,5.20%,5.90%,8.90%,2.90%,1.90%
"Riverside city, California",,,,,,,,,,,,,,
Estimate,"330,080","21,644","19,799","22,997","29,343","32,350","58,555","40,345","36,750","18,310","15,392","20,166","9,890","4,539"
Percent,"330,080",6.60%,6.00%,7.00%,8.90%,9.80%,17.70%,12.20%,11.10%,5.50%,4.70%,6.10%,3.00%,1.40%
"Rocklin city, California",,,,,,,,,,,,,,
Estimate,"67,231","3,879","4,925","5,482","6,369","4,930","9,189","8,343","9,299","3,707","3,392","5,043","2,059",614
Percent,"67,231",5.80%,7.30%,8.20%,9.50%,7.30%,13.70%,12.40%,13.80%,5.50%,5.00%,7.50%,3.10%,0.90%
"Roseville city, California",,,,,,,,,,,,,,
Estimate,"139,110","7,693","8,405","10,469","8,968","9,347","14,909","20,790","19,441","7,931","7,582","12,957","7,240","3,378"
Percent,"139,110",5.50%,6.00%,7.50%,6.40%,6.70%,10.70%,14.90%,14.00%,5.70%,5.50%,9.30%,5.20%,2.40%
"Sacramento city, California",,,,,,,,,,,,,,
Estimate,"508,517","33,445","32,719","33,937","30,567","32,734","96,884","69,344","59,190","24,752","27,335","40,252","18,301","9,057"
Percent,"508,517",6.60%,6.40%,6.70%,6.00%,6.40%,19.10%,13.60%,11.60%,4.90%,5.40%,7.90%,3.60%,1.80%
"Salinas city, California",,,,,,,,,,,,,,
Estimate,"156,275","12,582","13,547","14,722","12,480","11,488","24,838","21,869","17,813","7,146","5,368","8,955","3,232","2,235"
Percent,"156,275",8.10%,8.70%,9.40%,8.00%,7.40%,15.90%,14.00%,11.40%,4.60%,3.40%,5.70%,2.10%,1.40%
"San Bernardino city, California",,,,,,,,,,,,,,
Estimate,"215,929","16,288","16,071","21,497","17,854","16,950","34,076","26,965","25,525","12,538","8,633","12,616","4,835","2,081"
Percent,"215,929",7.50%,7.40%,10.00%,8.30%,7.80%,15.80%,12.50%,11.80%,5.80%,4.00%,5.80%,2.20%,1.00%
"San Buenaventura (Ventura) city, California",,,,,,,,,,,,,,
Estimate,"111,120","6,137","6,666","4,966","7,987","6,230","14,845","14,718","13,472","8,056","8,585","11,570","5,277","2,611"
Percent,"111,120",5.50%,6.00%,4.50%,7.20%,5.60%,13.40%,13.20%,12.10%,7.20%,7.70%,10.40%,4.70%,2.30%
"San Clemente city, California",,,,,,,,,,,,,,
Estimate,"64,850","3,412","3,058","4,416","4,916","2,556","6,332","8,186","9,832","5,050","5,348","6,473","3,908","1,363"
Percent,"64,850",5.30%,4.70%,6.80%,7.60%,3.90%,9.80%,12.60%,15.20%,7.80%,8.20%,10.00%,6.00%,2.10%
"San Diego city, California",,,,,,,,,,,,,,
Estimate,"1,425,999","86,485","78,863","76,554","82,756","111,847","266,772","196,929","176,988","82,052","77,704","112,781","53,957","22,311"
Percent,"1,425,999",6.10%,5.50%,5.40%,5.80%,7.80%,18.70%,13.80%,12.40%,5.80%,5.40%,7.90%,3.80%,1.60%
"San Francisco city, California",,,,,,,,,,,,,,
Estimate,"883,305","39,618","29,690","32,128","32,825","46,479","207,779","139,659","115,224","48,637","53,138","76,622","38,664","22,842"
Percent,"883,305",4.50%,3.40%,3.60%,3.70%,5.30%,23.50%,15.80%,13.00%,5.50%,6.00%,8.70%,4.40%,2.60%
"San Jose city, California",,,,,,,,,,,,,,
Estimate,"1,030,119","62,264","60,011","66,250","61,682","67,253","161,696","153,900","141,676","63,806","57,528","77,137","39,957","16,959"
Percent,"1,030,119",6.00%,5.80%,6.40%,6.00%,6.50%,15.70%,14.90%,13.80%,6.20%,5.60%,7.50%,3.90%,1.60%
"San Leandro city, California",,,,,,,,,,,,,,
Estimate,"89,683","4,172","4,779","4,707","4,381","6,724","12,527","11,746","12,094","8,325","6,816","7,102","3,788","2,522"
Percent,"89,683",4.70%,5.30%,5.20%,4.90%,7.50%,14.00%,13.10%,13.50%,9.30%,7.60%,7.90%,4.20%,2.80%
"San Marcos city, California",,,,,,,,,,,,,,
Estimate,"96,834","7,342","5,906","6,227","8,791","7,691","13,754","13,021","11,641","5,863","4,952","5,733","3,913","2,000"
Percent,"96,834",7.60%,6.10%,6.40%,9.10%,7.90%,14.20%,13.40%,12.00%,6.10%,5.10%,5.90%,4.00%,2.10%
"San Mateo city, California",,,,,,,,,,,,,,
Estimate,"105,016","7,147","6,054","5,533","3,724","4,539","17,927","16,945","12,728","6,183","6,441","8,455","6,009","3,331"
Percent,"105,016",6.80%,5.80%,5.30%,3.50%,4.30%,17.10%,16.10%,12.10%,5.90%,6.10%,8.10%,5.70%,3.20%
"San Ramon city, California",,,,,,,,,,,,,,
Estimate,"75,832","3,485","4,821","7,336","6,511","3,105","5,278","13,344","15,017","4,891","3,720","4,770","2,730",824
Percent,"75,832",4.60%,6.40%,9.70%,8.60%,4.10%,7.00%,17.60%,19.80%,6.40%,4.90%,6.30%,3.60%,1.10%
"Santa Ana city, California",,,,,,,,,,,,,,
Estimate,"332,727","24,327","22,025","25,229","22,359","27,175","60,337","44,647","42,407","17,897","14,018","19,343","8,316","4,647"
Percent,"332,727",7.30%,6.60%,7.60%,6.70%,8.20%,18.10%,13.40%,12.70%,5.40%,4.20%,5.80%,2.50%,1.40%
"Santa Barbara city, California",,,,,,,,,,,,,,
Estimate,"91,330","5,964","3,321","3,975","5,865","8,912","13,464","10,554","10,642","5,800","6,193","10,012","3,948","2,680"
Percent,"91,330",6.50%,3.60%,4.40%,6.40%,9.80%,14.70%,11.60%,11.70%,6.40%,6.80%,11.00%,4.30%,2.90%
"Santa Clara city, California",,,,,,,,,,,,,,
Estimate,"129,489","8,879","6,457","6,433","9,314","8,670","27,187","18,274","14,449","6,700","6,707","9,914","4,595","1,910"
Percent,"129,489",6.90%,5.00%,5.00%,7.20%,6.70%,21.00%,14.10%,11.20%,5.20%,5.20%,7.70%,3.50%,1.50%
"Santa Clarita city, California",,,,,,,,,,,,,,
Estimate,"210,085","15,700","12,756","16,069","13,427","12,084","25,806","27,510","31,302","14,953","13,894","16,804","6,780","3,000"
Percent,"210,085",7.50%,6.10%,7.60%,6.40%,5.80%,12.30%,13.10%,14.90%,7.10%,6.60%,8.00%,3.20%,1.40%
"Santa Cruz city, California",,,,,,,,,,,,,,
Estimate,"64,729","2,369","2,342","1,927","11,419","12,778","6,813","6,484","6,745","2,598","2,826","5,878","1,972",578
Percent,"64,729",3.70%,3.60%,3.00%,17.60%,19.70%,10.50%,10.00%,10.40%,4.00%,4.40%,9.10%,3.00%,0.90%
"Santa Maria city, California",,,,,,,,,,,,,,
Estimate,"107,424","10,062","9,451","10,865","8,710","9,359","15,499","14,233","11,787","4,024","3,856","5,236","3,114","1,228"
Percent,"107,424",9.40%,8.80%,10.10%,8.10%,8.70%,14.40%,13.20%,11.00%,3.70%,3.60%,4.90%,2.90%,1.10%
"Santa Monica city, California",,,,,,,,,,,,,,
Estimate,"91,417","5,733","3,809","3,709","3,359","3,081","19,861","13,908","11,555","5,357","5,350","8,748","3,253","3,694"
Percent,"91,417",6.30%,4.20%,4.10%,3.70%,3.40%,21.70%,15.20%,12.60%,5.90%,5.90%,9.60%,3.60%,4.00%
"Santa Rosa city, California",,,,,,,,,,,,,,
Estimate,"177,587","10,027","9,542","11,737","10,873","9,456","27,290","23,782","22,538","11,059","10,284","17,404","9,733","3,862"
Percent,"177,587",5.60%,5.40%,6.60%,6.10%,5.30%,15.40%,13.40%,12.70%,6.20%,5.80%,9.80%,5.50%,2.20%
"Simi Valley city, California",,,,,,,,,,,,,,
Estimate,"125,844","7,393","6,292","7,355","7,457","8,429","16,014","15,209","18,225","9,933","7,875","13,102","5,982","2,578"
Percent,"125,844",5.90%,5.00%,5.80%,5.90%,6.70%,12.70%,12.10%,14.50%,7.90%,6.30%,10.40%,4.80%,2.00%
"South Gate city, California",,,,,,,,,,,,,,
Estimate,"94,439","7,144","7,301","8,273","6,987","8,005","14,447","14,002","10,415","4,816","4,149","5,797","2,304",799
Percent,"94,439",7.60%,7.70%,8.80%,7.40%,8.50%,15.30%,14.80%,11.00%,5.10%,4.40%,6.10%,2.40%,0.80%
"South San Francisco city, California",,,,,,,,,,,,,,
Estimate,"67,736","3,481","3,643","2,669","4,513","4,684","9,287","8,786","8,815","3,923","5,405","6,878","4,145","1,507"
Percent,"67,736",5.10%,5.40%,3.90%,6.70%,6.90%,13.70%,13.00%,13.00%,5.80%,8.00%,10.20%,6.10%,2.20%
"South Whittier CDP, California",,,,,,,,,,,,,,
Estimate,"65,577","4,117","3,800","5,604","4,796","5,528","10,473","6,964","8,925","4,305","3,328","4,153","2,718",866
Percent,"65,577",6.30%,5.80%,8.50%,7.30%,8.40%,16.00%,10.60%,13.60%,6.60%,5.10%,6.30%,4.10%,1.30%
"Stockton city, California",,,,,,,,,,,,,,
Estimate,"311,189","21,485","24,948","25,417","26,065","22,379","45,004","40,697","37,218","14,626","15,176","22,266","12,245","3,663"
Percent,"311,189",6.90%,8.00%,8.20%,8.40%,7.20%,14.50%,13.10%,12.00%,4.70%,4.90%,7.20%,3.90%,1.20%
"Sunnyvale city, California",,,,,,,,,,,,,,
Estimate,"153,175","10,610","7,397","9,026","4,548","7,158","37,294","22,158","19,435","9,188","7,918","9,366","5,817","3,260"
Percent,"153,175",6.90%,4.80%,5.90%,3.00%,4.70%,24.30%,14.50%,12.70%,6.00%,5.20%,6.10%,3.80%,2.10%
"Temecula city, California",,,,,,,,,,,,,,
Estimate,"114,749","6,530","11,930","11,333","7,649","7,357","12,036","17,655","14,724","7,387","6,492","7,407","2,812","1,437"
Percent,"114,749",5.70%,10.40%,9.90%,6.70%,6.40%,10.50%,15.40%,12.80%,6.40%,5.70%,6.50%,2.50%,1.30%
"Thousand Oaks city, California",,,,,,,,,,,,,,
Estimate,"127,720","7,197","7,825","8,190","6,571","8,469","11,623","15,442","19,636","11,191","8,073","12,444","6,609","4,450"
Percent,"127,720",5.60%,6.10%,6.40%,5.10%,6.60%,9.10%,12.10%,15.40%,8.80%,6.30%,9.70%,5.20%,3.50%
"Torrance city, California",,,,,,,,,,,,,,
Estimate,"145,181","9,159","7,793","8,022","7,903","6,274","19,357","17,787","19,608","11,700","11,625","14,104","6,871","4,978"
Percent,"145,181",6.30%,5.40%,5.50%,5.40%,4.30%,13.30%,12.30%,13.50%,8.10%,8.00%,9.70%,4.70%,3.40%
"Tracy city, California",,,,,,,,,,,,,,
Estimate,"91,803","5,957","5,556","8,628","7,942","6,915","12,091","14,337","12,421","4,715","4,999","5,590","1,814",838
Percent,"91,803",6.50%,6.10%,9.40%,8.70%,7.50%,13.20%,15.60%,13.50%,5.10%,5.40%,6.10%,2.00%,0.90%
"Turlock city, California",,,,,,,,,,,,,,
Estimate,"73,490","5,366","5,500","6,262","5,426","5,007","10,561","11,716","8,726","2,533","2,750","5,721","3,098",824
Percent,"73,490",7.30%,7.50%,8.50%,7.40%,6.80%,14.40%,15.90%,11.90%,3.40%,3.70%,7.80%,4.20%,1.10%
"Tustin city, California",,,,,,,,,,,,,,
Estimate,"79,787","6,369","2,812","7,658","5,786","5,825","11,922","10,057","9,935","6,901","4,769","3,762","2,672","1,319"
Percent,"79,787",8.00%,3.50%,9.60%,7.30%,7.30%,14.90%,12.60%,12.50%,8.60%,6.00%,4.70%,3.30%,1.70%
"Union City city, California",,,,,,,,,,,,,,
Estimate,"74,568","4,156","3,925","2,908","3,505","5,582","12,491","11,544","8,667","5,112","4,987","6,850","2,966","1,875"
Percent,"74,568",5.60%,5.30%,3.90%,4.70%,7.50%,16.80%,15.50%,11.60%,6.90%,6.70%,9.20%,4.00%,2.50%
"Upland city, California",,,,,,,,,,,,,,
Estimate,"77,002","5,336","4,145","5,105","4,934","6,266","11,784","9,766","9,047","4,470","4,627","5,692","4,462","1,368"
Percent,"77,002",6.90%,5.40%,6.60%,6.40%,8.10%,15.30%,12.70%,11.70%,5.80%,6.00%,7.40%,5.80%,1.80%
"Vacaville city, California",,,,,,,,,,,,,,
Estimate,"100,147","5,327","6,798","7,525","6,196","5,400","16,593","14,225","11,429","6,155","5,668","8,898","3,868","2,065"
Percent,"100,147",5.30%,6.80%,7.50%,6.20%,5.40%,16.60%,14.20%,11.40%,6.10%,5.70%,8.90%,3.90%,2.10%
"Vallejo city, California",,,,,,,,,,,,,,
Estimate,"121,915","5,993","6,468","7,542","7,811","7,873","16,627","15,874","15,127","9,097","9,728","11,965","6,000","1,810"
Percent,"121,915",4.90%,5.30%,6.20%,6.40%,6.50%,13.60%,13.00%,12.40%,7.50%,8.00%,9.80%,4.90%,1.50%
"Victorville city, California",,,,,,,,,,,,,,
Estimate,"122,305","12,187","12,983","10,581","8,425","7,386","20,092","14,678","15,921","5,304","4,925","5,923","3,006",894
Percent,"122,305",10.00%,10.60%,8.70%,6.90%,6.00%,16.40%,12.00%,13.00%,4.30%,4.00%,4.80%,2.50%,0.70%
"Visalia city, California",,,,,,,,,,,,,,
Estimate,"133,783","11,465","13,553","12,289","9,033","6,375","21,457","16,940","13,967","6,077","6,730","9,549","4,462","1,886"
Percent,"133,783",8.60%,10.10%,9.20%,6.80%,4.80%,16.00%,12.70%,10.40%,4.50%,5.00%,7.10%,3.30%,1.40%
"Vista city, California",,,,,,,,,,,,,,
Estimate,"101,227","7,823","4,961","7,196","7,100","7,467","17,961","12,380","13,380","7,179","5,836","5,680","3,016","1,248"
Percent,"101,227",7.70%,4.90%,7.10%,7.00%,7.40%,17.70%,12.20%,13.20%,7.10%,5.80%,5.60%,3.00%,1.20%
"Walnut Creek city, California",,,,,,,,,,,,,,
Estimate,"69,814","2,587","2,260","2,708","2,306","1,877","10,075","8,901","7,859","3,656","5,362","10,380","8,219","3,624"
Percent,"69,814",3.70%,3.20%,3.90%,3.30%,2.70%,14.40%,12.70%,11.30%,5.20%,7.70%,14.90%,11.80%,5.20%
"West Covina city, California",,,,,,,,,,,,,,
Estimate,"106,314","5,203","7,226","7,416","5,405","8,210","13,938","13,218","13,175","7,439","7,459","9,834","5,308","2,483"
Percent,"106,314",4.90%,6.80%,7.00%,5.10%,7.70%,13.10%,12.40%,12.40%,7.00%,7.00%,9.20%,5.00%,2.30%
"Westminster city, California",,,,,,,,,,,,,,
Estimate,"90,931","4,591","5,843","6,291","5,079","3,807","10,927","12,264","13,785","6,096","4,597","9,427","6,535","1,689"
Percent,"90,931",5.00%,6.40%,6.90%,5.60%,4.20%,12.00%,13.50%,15.20%,6.70%,5.10%,10.40%,7.20%,1.90%
"Whittier city, California",,,,,,,,,,,,,,
Estimate,"86,060","5,021","3,422","5,786","5,501","5,175","14,317","12,062","11,604","6,066","4,361","6,654","3,782","2,309"
Percent,"86,060",5.80%,4.00%,6.70%,6.40%,6.00%,16.60%,14.00%,13.50%,7.00%,5.10%,7.70%,4.40%,2.70%
"Yorba Linda city, California",,,,,,,,,,,,,,
Estimate,"67,804","4,377","4,411","4,799","4,079","2,020","7,181","9,141","9,016","3,872","4,758","9,171","3,358","1,621"
Percent,"67,804",6.50%,6.50%,7.10%,6.00%,3.00%,10.60%,13.50%,13.30%,5.70%,7.00%,13.50%,5.00%,2.40%
"Yuba City city, California",,,,,,,,,,,,,,
Estimate,"66,988","5,244","5,350","4,089","4,476","3,522","10,079","8,367","7,325","3,524","4,008","5,659","3,558","1,787"
Percent,"66,988",7.80%,8.00%,6.10%,6.70%,5.30%,15.00%,12.50%,10.90%,5.30%,6.00%,8.40%,5.30%,2.70%
