City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
Percent,"72,569",8.20%,4.70%,6.30%,6.20%,7.20%,16.60%,14.90%,10.80%,5.70%,6.90%,8.40%,3.10%,1.00%
"Pleasanton city, California",,,,,,,,,,,,,,
Estimate,"81,794","3,966","4,282","7,252","5,579","2,824","7,858","12,476","12,482","5,409","6,253","7,123","4,679","1,611"
Percent,"81,794",4.80%,5.20%,8.90%,6.80%,3.50%,9.60%,15.30%,15.30%,6.60%,7.60%,8.70%,5.70%,2.00%
"Pomona city, California",,,,,,,,,,,,,,
Estimate,"151,696","10,073","9,914","9,048","12,967","12,455","22,705","21,974","17,563","7,947","8,463","10,743","5,306","2,538"
Percent,"151,696",6.60%,6.50%,6.00%,8.50%,8.20%,15.00%,14.50%,11.60%,5.20%,5.60%,7.10%,3.50%,1.70%
"Rancho Cordova city, California",,,,,,,,,,,,,,
Estimate,"75,086","7,738","6,840","4,854","2,856","5,196","12,195","10,512","7,589","3,608","4,292","6,313","1,972","1,121"
Percent,"75,086",10.30%,9.10%,6.50%,3.80%,6.90%,16.20%,14.00%,10.10%,4.80%,5.70%,8.40%,2.60%,1.50%
"Rancho Cucamonga city, California",,,,,,,,,,,,,,
Estimate,"177,614","11,592","10,442","11,734","12,144","9,177","28,783","21,954","25,770","12,590","9,147","16,130","6,744","1,407"
Percent,"177,614",6.50%,5.90%,6.60%,6.80%,5.20%,16.20%,12.40%,14.50%,7.10%,5.10%,9.10%,3.80%,0.80%
"Redding city, California",,,,,,,,,,,,,,
Estimate,"92,598","5,787","6,281","5,221","5,127","6,210","13,744","10,979","9,455","7,177","5,549","9,589","4,928","2,551"
Percent,"92,598",6.20%,6.80%,5.60%,5.50%,6.70%,14.80%,11.90%,10.20%,7.80%,6.00%,10.40%,5.30%,2.80%
"Redlands city, California",,,,,,,,,,,,,,
Estimate,"71,516","4,584","3,007","3,827","4,332","4,508","10,910","8,254","8,125","6,169","5,703","6,059","4,314","1,724"
Percent,"71,516",6.40%,4.20%,5.40%,6.10%,6.30%,15.30%,11.50%,11.40%,8.60%,8.00%,8.50%,6.00%,2.40%
"Redondo Beach city, California",,,,,,,,,,,,,,
Estimate,"66,757","6,088","4,455","4,088","2,255","2,828","9,142","12,327","8,726","4,144","4,710","4,909","2,263",822
Percent,"66,757",9.10%,6.70%,6.10%,3.40%,4.20%,13.70%,18.50%,13.10%,6.20%,7.10%,7.40%,3.40%,1.20%
"Redwood City city, California",,,,,,,,,,,,,,
Estimate,"85,926","5,970","4,563","4,295","3,379","4,635","14,797","13,858","11,336","6,165","5,163","6,050","4,186","1,529"
Percent,"85,926",6.90%,5.30%,5.00%,3.90%,5.40%,17.20%,16.10%,13.20%,7.20%,6.00%,7.00%,4.90%,1.80%
"Rialto city, California",,,,,,,,,,,,,,
Estimate,"103,540","8,520","7,929","8,619","6,879","9,427","18,188","12,628","11,647","5,588","4,083","6,893","2,124","1,015"
Percent,"103,540",8.20%,7.70%,8.30%,6.60%,9.10%,17.60%,12.20%,11.20%,5.40%,3.90%,6.70%,2.10%,1.00%
"Richmond city, California",,,,,,,,,,,,,,
Estimate,"110,575","8,096","8,378","5,894","6,180","7,084","17,745","16,406","16,138","4,520","6,707","8,875","3,096","1,456"
Percent,"110,575",7.30%,7.60%,5.30%,5.60%,6.40%,16.00%,14.80%,14.60%,4.10%,6.10%,8.00%,2.80%,1.30%
"Riverside city, California",,,,,,,,,,,,,,
Estimate,"331,369","19,514","19,424","27,145","31,947","30,031","53,944","41,417","41,854","15,919","15,242","19,629","10,665","4,638"
Percent,"331,369",5.90%,5.90%,8.20%,9.60%,9.10%,16.30%,12.50%,12.60%,4.80%,4.60%,5.90%,3.20%,1.40%
"Rocklin city, California",,,,,,,,,,,,,,
Estimate,"68,815","3,810","5,240","5,617","5,558","3,980","7,129","9,694","9,511","3,769","3,046","6,714","3,325","1,422"
Percent,"68,815",5.50%,7.60%,8.20%,8.10%,5.80%,10.40%,14.10%,13.80%,5.50%,4.40%,9.80%,4.80%,2.10%
"Roseville city, California",,,,,,,,,,,,,,
Estimate,"141,492","9,133","7,558","9,583","8,670","7,803","16,765","21,744","18,237","9,068","8,294","14,215","6,687","3,735"
Percent,"141,492",6.50%,5.30%,6.80%,6.10%,5.50%,11.80%,15.40%,12.90%,6.40%,5.90%,10.00%,4.70%,2.60%
"Sacramento city, California",,,,,,,,,,,,,,
Estimate,"513,620","32,605","34,558","30,295","31,590","35,302","93,673","72,338","58,287","27,033","25,096","42,698","20,105","10,040"
Percent,"513,620",6.30%,6.70%,5.90%,6.20%,6.90%,18.20%,14.10%,11.30%,5.30%,4.90%,8.30%,3.90%,2.00%
"Salinas city, California",,,,,,,,,,,,,,
Estimate,"155,473","13,580","13,273","14,984","12,441","10,733","24,807","22,577","18,956","6,447","5,040","7,412","3,515","1,708"
Percent,"155,473",8.70%,8.50%,9.60%,8.00%,6.90%,16.00%,14.50%,12.20%,4.10%,3.20%,4.80%,2.30%,1.10%
"San Bernardino city, California",,,,,,,,,,,,,,
Estimate,"215,780","14,151","16,677","18,981","16,554","19,113","34,785","28,614","25,264","11,184","9,097","14,303","4,762","2,295"
Percent,"215,780",6.60%,7.70%,8.80%,7.70%,8.90%,16.10%,13.30%,11.70%,5.20%,4.20%,6.60%,2.20%,1.10%
"San Buenaventura (Ventura) city, California",,,,,,,,,,,,,,
Estimate,"109,108","6,034","4,469","6,909","6,238","5,854","18,470","12,737","12,639","8,331","7,740","10,970","6,180","2,537"
Percent,"109,108",5.50%,4.10%,6.30%,5.70%,5.40%,16.90%,11.70%,11.60%,7.60%,7.10%,10.10%,5.70%,2.30%
"San Clemente city, California",,,,,,,,,,,,,,
Estimate,"64,562","4,012","3,635","4,711","3,643","3,072","7,600","7,622","8,673","4,464","5,351","7,537","2,964","1,278"
Percent,"64,562",6.20%,5.60%,7.30%,5.60%,4.80%,11.80%,11.80%,13.40%,6.90%,8.30%,11.70%,4.60%,2.00%
"San Diego city, California",,,,,,,,,,,,,,
Estimate,"1,423,852","80,830","74,558","79,344","87,827","111,344","268,577","204,332","170,800","78,738","76,382","112,647","56,695","21,778"
Percent,"1,423,852",5.70%,5.20%,5.60%,6.20%,7.80%,18.90%,14.40%,12.00%,5.50%,5.40%,7.90%,4.00%,1.50%
"San Francisco city, California",,,,,,,,,,,,,,
Estimate,"881,549","39,088","31,759","30,575","30,872","47,976","204,061","141,927","112,977","51,698","49,152","79,547","41,488","20,429"
Percent,"881,549",4.40%,3.60%,3.50%,3.50%,5.40%,23.10%,16.10%,12.80%,5.90%,5.60%,9.00%,4.70%,2.30%
"San Jose city, California",,,,,,,,,,,,,,
Estimate,"1,021,786","56,849","57,988","70,252","61,873","63,784","163,371","148,814","138,965","64,974","56,419","79,891","41,877","16,729"
Percent,"1,021,786",5.60%,5.70%,6.90%,6.10%,6.20%,16.00%,14.60%,13.60%,6.40%,5.50%,7.80%,4.10%,1.60%
"San Leandro city, California",,,,,,,,,,,,,,
Estimate,"88,822","3,333","3,876","5,513","3,812","2,945","17,311","10,663","12,974","7,086","7,473","7,075","4,702","2,059"
Percent,"88,822",3.80%,4.40%,6.20%,4.30%,3.30%,19.50%,12.00%,14.60%,8.00%,8.40%,8.00%,5.30%,2.30%
"San Marcos city, California",,,,,,,,,,,,,,
Estimate,"96,673","4,822","8,753","7,857","7,577","5,508","10,869","14,302","13,309","4,580","4,916","8,809","4,319","1,052"
Percent,"96,673",5.00%,9.10%,8.10%,7.80%,5.70%,11.20%,14.80%,13.80%,4.70%,5.10%,9.10%,4.50%,1.10%
"San Mateo city, California",,,,,,,,,,,,,,
Estimate,"104,438","6,269","6,242","4,942","5,352","5,388","18,150","16,146","13,845","6,877","5,432","8,464","4,401","2,930"
Percent,"104,438",6.00%,6.00%,4.70%,5.10%,5.20%,17.40%,15.50%,13.30%,6.60%,5.20%,8.10%,4.20%,2.80%
"San Ramon city, California",,,,,,,,,,,,,,
Estimate,"75,984","3,551","6,134","7,117","5,219","3,477","5,716","11,952","17,247","4,295","2,532","5,030","2,460","1,254"
Percent,"75,984",4.70%,8.10%,9.40%,6.90%,4.60%,7.50%,15.70%,22.70%,5.70%,3.30%,6.60%,3.20%,1.70%
"Santa Ana city, California",,,,,,,,,,,,,,
Estimate,"332,332","22,442","22,947","24,897","25,815","24,620","54,702","48,722","40,696","17,251","15,810","20,495","9,196","4,739"
Percent,"332,332",6.80%,6.90%,7.50%,7.80%,7.40%,16.50%,14.70%,12.20%,5.20%,4.80%,6.20%,2.80%,1.40%
"Santa Barbara city, California",,,,,,,,,,,,,,
Estimate,"91,357","4,027","3,535","6,001","5,020","9,046","13,540","12,142","10,723","5,536","4,530","9,838","4,319","3,100"
Percent,"91,357",4.40%,3.90%,6.60%,5.50%,9.90%,14.80%,13.30%,11.70%,6.10%,5.00%,10.80%,4.70%,3.40%
"Santa Clara city, California",,,,,,,,,,,,,,
Estimate,"130,371","7,506","6,438","5,022","9,651","9,336","30,577","18,034","16,162","7,527","6,866","6,806","5,011","1,435"
Percent,"130,371",5.80%,4.90%,3.90%,7.40%,7.20%,23.50%,13.80%,12.40%,5.80%,5.30%,5.20%,3.80%,1.10%
"Santa Clarita city, California",,,,,,,,,,,,,,
Estimate,"212,975","13,958","13,458","15,811","16,334","12,125","25,141","26,774","31,330","15,520","13,944","16,881","8,585","3,114"
Percent,"212,975",6.60%,6.30%,7.40%,7.70%,5.70%,11.80%,12.60%,14.70%,7.30%,6.50%,7.90%,4.00%,1.50%
"Santa Cruz city, California",,,,,,,,,,,,,,
Estimate,"64,605","2,054","2,162","2,950","9,714","12,696","9,131","6,951","6,750","2,680","3,004","4,231","1,821",461
Percent,"64,605",3.20%,3.30%,4.60%,15.00%,19.70%,14.10%,10.80%,10.40%,4.10%,4.60%,6.50%,2.80%,0.70%
"Santa Maria city, California",,,,,,,,,,,,,,
Estimate,"107,273","12,668","7,987","9,827","7,359","9,043","17,404","14,068","9,463","4,934","2,929","6,162","2,509","2,920"
Percent,"107,273",11.80%,7.40%,9.20%,6.90%,8.40%,16.20%,13.10%,8.80%,4.60%,2.70%,5.70%,2.30%,2.70%
"Santa Monica city, California",,,,,,,,,,,,,,
Estimate,"90,401","3,792","2,809","3,454","3,110","4,073","16,601","13,480","12,249","5,071","5,975","9,795","6,850","3,142"
Percent,"90,401",4.20%,3.10%,3.80%,3.40%,4.50%,18.40%,14.90%,13.50%,5.60%,6.60%,10.80%,7.60%,3.50%
"Santa Rosa city, California",,,,,,,,,,,,,,
Estimate,"176,761","11,237","10,128","12,002","10,447","10,092","25,209","22,729","24,715","11,090","9,776","16,995","8,361","3,980"
Percent,"176,761",6.40%,5.70%,6.80%,5.90%,5.70%,14.30%,12.90%,14.00%,6.30%,5.50%,9.60%,4.70%,2.30%
"Simi Valley city, California",,,,,,,,,,,,,,
Estimate,"125,594","6,456","5,092","7,438","8,409","8,224","17,029","15,287","19,568","10,228","8,039","10,342","6,253","3,229"
Percent,"125,594",5.10%,4.10%,5.90%,6.70%,6.50%,13.60%,12.20%,15.60%,8.10%,6.40%,8.20%,5.00%,2.60%
"South Gate city, California",,,,,,,,,,,,,,
Estimate,"93,433","6,763","6,158","6,487","6,591","7,900","16,078","10,893","11,879","4,839","4,869","7,734","2,097","1,145"
Percent,"93,433",7.20%,6.60%,6.90%,7.10%,8.50%,17.20%,11.70%,12.70%,5.20%,5.20%,8.30%,2.20%,1.20%
"South San Francisco city, California",,,,,,,,,,,,,,
Estimate,"67,781","2,025","2,034","3,195","3,060","4,314","11,681","8,856","11,005","5,031","5,174","6,638","3,425","1,343"
Percent,"67,781",3.00%,3.00%,4.70%,4.50%,6.40%,17.20%,13.10%,16.20%,7.40%,7.60%,9.80%,5.10%,2.00%
"Stockton city, California",,,,,,,,,,,,,,
Estimate,"312,682","22,942","21,396","26,311","23,824","21,548","43,915","42,711","35,019","16,695","15,774","24,599","13,552","4,396"
Percent,"312,682",7.30%,6.80%,8.40%,7.60%,6.90%,14.00%,13.70%,11.20%,5.30%,5.00%,7.90%,4.30%,1.40%
"Sunnyvale city, California",,,,,,,,,,,,,,
Estimate,"152,710","11,766","10,381","6,727","5,541","7,978","32,235","26,817","18,635","8,911","7,861","9,353","4,277","2,228"
Percent,"152,710",7.70%,6.80%,4.40%,3.60%,5.20%,21.10%,17.60%,12.20%,5.80%,5.10%,6.10%,2.80%,1.50%
"Temecula city, California",,,,,,,,,,,,,,
Estimate,"114,751","9,447","8,457","8,488","9,188","5,729","14,873","18,575","12,499","7,879","6,909","8,058","3,228","1,421"
Percent,"114,751",8.20%,7.40%,7.40%,8.00%,5.00%,13.00%,16.20%,10.90%,6.90%,6.00%,7.00%,2.80%,1.20%
"Thousand Oaks city, California",,,,,,,,,,,,,,
Estimate,"126,815","8,665","5,616","10,377","8,316","8,514","12,055","15,228","16,434","8,220","8,203","14,344","7,724","3,119"
Percent,"126,815",6.80%,4.40%,8.20%,6.60%,6.70%,9.50%,12.00%,13.00%,6.50%,6.50%,11.30%,6.10%,2.50%
"Torrance city, California",,,,,,,,,,,,,,
Estimate,"143,589","7,478","8,302","8,912","5,149","4,798","21,963","19,463","19,322","12,670","10,042","13,386","8,520","3,584"
Percent,"143,589",5.20%,5.80%,6.20%,3.60%,3.30%,15.30%,13.60%,13.50%,8.80%,7.00%,9.30%,5.90%,2.50%
"Tracy city, California",,,,,,,,,,,,,,
Estimate,"94,751","5,558","5,470","7,924","8,377","7,127","15,085","13,774","12,214","5,213","5,566","5,002","2,406","1,035"
Percent,"94,751",5.90%,5.80%,8.40%,8.80%,7.50%,15.90%,14.50%,12.90%,5.50%,5.90%,5.30%,2.50%,1.10%
"Tulare city, California",,,,,,,,,,,,,,
Estimate,"65,508","5,475","9,922","6,946","4,906","5,154","9,845","8,137","6,737","2,031","1,207","2,935","1,708",505
Percent,"65,508",8.40%,15.10%,10.60%,7.50%,7.90%,15.00%,12.40%,10.30%,3.10%,1.80%,4.50%,2.60%,0.80%
"Turlock city, California",,,,,,,,,,,,,,
Estimate,"73,629","5,602","5,394","5,335","5,994","6,051","10,724","8,658","8,593","3,928","3,568","6,321","2,294","1,167"
Percent,"73,629",7.60%,7.30%,7.20%,8.10%,8.20%,14.60%,11.80%,11.70%,5.30%,4.80%,8.60%,3.10%,1.60%
"Tustin city, California",,,,,,,,,,,,,,
Estimate,"79,346","3,615","5,934","7,569","6,232","5,106","11,472","11,134","11,258","4,024","4,154","5,324","2,732",792
Percent,"79,346",4.60%,7.50%,9.50%,7.90%,6.40%,14.50%,14.00%,14.20%,5.10%,5.20%,6.70%,3.40%,1.00%
"Union City city, California",,,,,,,,,,,,,,
Estimate,"74,099","4,108","4,461","4,965","2,908","3,238","10,416","12,210","8,784","5,237","4,432","8,120","3,685","1,535"
Percent,"74,099",5.50%,6.00%,6.70%,3.90%,4.40%,14.10%,16.50%,11.90%,7.10%,6.00%,11.00%,5.00%,2.10%
"Upland city, California",,,,,,,,,,,,,,
Estimate,"77,123","3,645","3,557","5,158","6,093","4,994","12,802","9,339","11,602","4,366","4,138","6,415","4,083",931
Percent,"77,123",4.70%,4.60%,6.70%,7.90%,6.50%,16.60%,12.10%,15.00%,5.70%,5.40%,8.30%,5.30%,1.20%
"Vacaville city, California",,,,,,,,,,,,,,
Estimate,"100,669","6,563","6,483","6,411","5,526","5,671","15,560","14,416","12,712","6,309","7,010","8,394","4,226","1,388"
Percent,"100,669",6.50%,6.40%,6.40%,5.50%,5.60%,15.50%,14.30%,12.60%,6.30%,7.00%,8.30%,4.20%,1.40%
"Vallejo city, California",,,,,,,,,,,,,,
Estimate,"121,692","5,646","7,429","8,105","6,040","8,909","17,648","14,086","15,732","9,011","9,454","13,400","4,090","2,142"
Percent,"121,692",4.60%,6.10%,6.70%,5.00%,7.30%,14.50%,11.60%,12.90%,7.40%,7.80%,11.00%,3.40%,1.80%
"Victorville city, California",,,,,,,,,,,,,,
Estimate,"122,399","10,883","10,977","12,798","7,976","8,164","18,965","17,237","12,141","6,296","5,487","5,987","4,019","1,469"
Percent,"122,399",8.90%,9.00%,10.50%,6.50%,6.70%,15.50%,14.10%,9.90%,5.10%,4.50%,4.90%,3.30%,1.20%
"Visalia city, California",,,,,,,,,,,,,,
Estimate,"134,608","12,140","7,826","9,931","10,009","9,334","21,484","16,846","15,556","8,412","6,858","11,001","3,144","2,067"
Percent,"134,608",9.00%,5.80%,7.40%,7.40%,6.90%,16.00%,12.50%,11.60%,6.20%,5.10%,8.20%,2.30%,1.50%
"Vista city, California",,,,,,,,,,,,,,
Estimate,"101,639","6,748","6,739","6,827","6,745","7,600","17,961","13,758","14,848","5,813","4,011","6,579","2,524","1,486"
Percent,"101,639",6.60%,6.60%,6.70%,6.60%,7.50%,17.70%,13.50%,14.60%,5.70%,3.90%,6.50%,2.50%,1.50%
"Walnut Creek city, California",,,,,,,,,,,,,,
Estimate,"70,161","3,726","4,419","2,169","2,637","2,908","9,624","9,516","7,158","4,386","4,110","9,159","6,838","3,511"
Percent,"70,161",5.30%,6.30%,3.10%,3.80%,4.10%,13.70%,13.60%,10.20%,6.30%,5.90%,13.10%,9.70%,5.00%
"West Covina city, California",,,,,,,,,,,,,,
Estimate,"105,114","6,515","4,961","6,263","5,938","6,594","16,820","12,889","14,726","7,093","6,337","10,239","5,011","1,728"
Percent,"105,114",6.20%,4.70%,6.00%,5.60%,6.30%,16.00%,12.30%,14.00%,6.70%,6.00%,9.70%,4.80%,1.60%
"Westminster city, California",,,,,,,,,,,,,,
Estimate,"90,642","5,782","4,592","6,058","4,936","5,503","13,099","10,484","14,376","4,863","6,589","6,156","5,885","2,319"
Percent,"90,642",6.40%,5.10%,6.70%,5.40%,6.10%,14.50%,11.60%,15.90%,5.40%,7.30%,6.80%,6.50%,2.60%
"Whittier city, California",,,,,,,,,,,,,,
Estimate,"85,087","5,514","6,355","5,943","5,495","6,269","10,291","13,005","9,728","5,510","4,636","6,432","4,251","1,658"
Percent,"85,087",6.50%,7.50%,7.00%,6.50%,7.40%,12.10%,15.30%,11.40%,6.50%,5.40%,7.60%,5.00%,1.90%
"Yorba Linda city, California",,,,,,,,,,,,,,
Estimate,"67,645","3,042","4,029","4,588","3,694","2,843","7,496","7,742","11,353","5,751","4,263","7,889","4,071",884
Percent,"67,645",4.50%,6.00%,6.80%,5.50%,4.20%,11.10%,11.40%,16.80%,8.50%,6.30%,11.70%,6.00%,1.30%
"Yuba City city, California",,,,,,,,,,,,,,
Estimate,"67,009","3,000","4,924","4,268","4,742","5,275","9,204","7,705","8,242","3,286","5,164","5,894","3,803","1,502"
Percent,"67,009",4.50%,7.30%,6.40%,7.10%,7.90%,13.70%,11.50%,12.30%,4.90%,7.70%,8.80%,5.70%,2.20%
