City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
Percent,"71,026",6.30%,8.00%,7.00%,5.50%,5.60%,19.60%,13.00%,13.70%,5.40%,4.40%,6.10%,4.10%,1.40%
"Rancho Cucamonga city, California",,,,,,,,,,,,,,
Estimate,"175,232","10,493","12,499","13,414","13,293","15,084","23,924","22,589","25,235","12,451","9,624","11,280","3,977","1,369"
Percent,"175,232",6.00%,7.10%,7.70%,7.60%,8.60%,13.70%,12.90%,14.40%,7.10%,5.50%,6.40%,2.30%,0.80%
"Redding city, California",,,,,,,,,,,,,,
Estimate,"91,579","5,111","6,110","4,792","5,838","6,796","13,020","8,810","11,758","5,810","5,411","10,117","5,239","2,767"
Percent,"91,579",5.60%,6.70%,5.20%,6.40%,7.40%,14.20%,9.60%,12.80%,6.30%,5.90%,11.00%,5.70%,3.00%
"Redlands city, California",,,,,,,,,,,,,,
Estimate,"71,028","5,275","3,330","5,103","5,003","5,683","10,052","8,191","8,271","4,015","5,558","6,311","3,032","1,204"
Percent,"71,028",7.40%,4.70%,7.20%,7.00%,8.00%,14.20%,11.50%,11.60%,5.70%,7.80%,8.90%,4.30%,1.70%
"Redondo BeacPercent city, California",,,,,,,,,,,,,,
Estimate,"68,185","4,152","3,159","3,517","2,211","2,581","10,458","10,571","13,039","5,743","4,299","5,098","2,521",836
Percent,"68,185",6.10%,4.60%,5.20%,3.20%,3.80%,15.30%,15.50%,19.10%,8.40%,6.30%,7.50%,3.70%,1.20%
"Redwood City city, California",,,,,,,,,,,,,,
Estimate,"85,300","5,750","4,980","5,071","4,631","4,859","13,962","12,483","12,495","6,020","4,103","6,653","2,597","1,696"
Percent,"85,300",6.70%,5.80%,5.90%,5.40%,5.70%,16.40%,14.60%,14.60%,7.10%,4.80%,7.80%,3.00%,2.00%
"Rialto city, California",,,,,,,,,,,,,,
Estimate,"103,137","7,235","6,877","7,785","8,895","8,703","17,625","14,265","13,080","5,139","4,782","5,650","2,628",473
Percent,"103,137",7.00%,6.70%,7.50%,8.60%,8.40%,17.10%,13.80%,12.70%,5.00%,4.60%,5.50%,2.50%,0.50%
"Richmond city, California",,,,,,,,,,,,,,
Estimate,"109,715","7,406","7,230","5,584","6,283","7,503","20,240","15,076","14,180","6,860","5,476","8,304","4,025","1,548"
Percent,"109,715",6.80%,6.60%,5.10%,5.70%,6.80%,18.40%,13.70%,12.90%,6.30%,5.00%,7.60%,3.70%,1.40%
"Riverside city, California",,,,,,,,,,,,,,
Estimate,"322,423","20,012","24,613","19,904","25,990","33,649","55,284","40,180","38,641","17,059","14,065","20,018","9,645","3,363"
Percent,"322,423",6.20%,7.60%,6.20%,8.10%,10.40%,17.10%,12.50%,12.00%,5.30%,4.40%,6.20%,3.00%,1.00%
"Roseville city, California",,,,,,,,,,,,,,
Estimate,"130,282","8,371","8,560","7,675","9,377","8,231","16,156","18,803","17,995","7,188","7,582","10,706","6,094","3,544"
Percent,"130,282",6.40%,6.60%,5.90%,7.20%,6.30%,12.40%,14.40%,13.80%,5.50%,5.80%,8.20%,4.70%,2.70%
"Sacramento city, California",,,,,,,,,,,,,,
Estimate,"490,715","34,413","36,230","31,428","28,899","36,536","88,813","64,534","55,806","27,369","24,413","36,702","17,165","8,407"
Percent,"490,715",7.00%,7.40%,6.40%,5.90%,7.40%,18.10%,13.20%,11.40%,5.60%,5.00%,7.50%,3.50%,1.70%
"Salinas city, California",,,,,,,,,,,,,,
Estimate,"157,386","15,303","14,497","12,408","11,124","12,039","25,707","18,888","17,197","8,286","8,084","8,346","3,182","2,325"
Percent,"157,386",9.70%,9.20%,7.90%,7.10%,7.60%,16.30%,12.00%,10.90%,5.30%,5.10%,5.30%,2.00%,1.50%
"San Bernardino city, California",,,,,,,,,,,,,,
Estimate,"216,137","20,420","19,465","16,683","16,571","21,724","31,921","25,888","25,043","10,982","9,353","10,449","5,542","2,096"
Percent,"216,137",9.40%,9.00%,7.70%,7.70%,10.10%,14.80%,12.00%,11.60%,5.10%,4.30%,4.80%,2.60%,1.00%
"San Buenaventura (Ventura) city, California",,,,,,,,,,,,,,
Estimate,"109,717","7,626","6,461","6,138","5,526","6,961","17,327","13,044","14,489","7,754","7,545","9,165","4,779","2,902"
Percent,"109,717",7.00%,5.90%,5.60%,5.00%,6.30%,15.80%,11.90%,13.20%,7.10%,6.90%,8.40%,4.40%,2.60%
"San Clemente city, California",,,,,,,,,,,,,,
Estimate,"65,532","3,053","3,083","3,922","3,552","4,706","6,453","7,811","8,272","6,599","5,567","7,305","3,784","1,425"
Percent,"65,532",4.70%,4.70%,6.00%,5.40%,7.20%,9.80%,11.90%,12.60%,10.10%,8.50%,11.10%,5.80%,2.20%
"San Diego city, California",,,,,,,,,,,,,,
Estimate,"1,394,907","90,339","77,568","71,766","83,987","125,251","262,399","189,557","174,285","82,652","72,243","94,311","47,808","22,741"
Percent,"1,394,907",6.50%,5.60%,5.10%,6.00%,9.00%,18.80%,13.60%,12.50%,5.90%,5.20%,6.80%,3.40%,1.60%
"San Francisco city, California",,,,,,,,,,,,,,
Estimate,"864,816","39,679","32,267","27,445","30,614","50,990","200,061","136,398","117,869","51,351","51,464","68,575","38,071","20,032"
Percent,"864,816",4.60%,3.70%,3.20%,3.50%,5.90%,23.10%,15.80%,13.60%,5.90%,6.00%,7.90%,4.40%,2.30%
"San Jose city, California",,,,,,,,,,,,,,
Estimate,"1,026,919","69,258","65,309","65,443","58,889","70,707","159,551","148,411","148,355","64,980","55,352","69,903","34,488","16,273"
Percent,"1,026,919",6.70%,6.40%,6.40%,5.70%,6.90%,15.50%,14.50%,14.40%,6.30%,5.40%,6.80%,3.40%,1.60%
"San Leandro city, California",,,,,,,,,,,,,,
Estimate,"90,711","5,185","4,536","4,619","4,976","5,761","12,864","11,579","13,459","6,771","5,863","8,769","3,708","2,621"
Percent,"90,711",5.70%,5.00%,5.10%,5.50%,6.40%,14.20%,12.80%,14.80%,7.50%,6.50%,9.70%,4.10%,2.90%
"San Marcos city, California",,,,,,,,,,,,,,
Estimate,"92,934","6,957","8,235","5,460","6,453","7,722","10,978","15,491","12,190","4,161","5,040","6,224","3,242",781
Percent,"92,934",7.50%,8.90%,5.90%,6.90%,8.30%,11.80%,16.70%,13.10%,4.50%,5.40%,6.70%,3.50%,0.80%
"San Mateo city, California",,,,,,,,,,,,,,
Estimate,"103,524","6,814","6,261","5,831","5,261","5,142","15,925","16,238","14,287","6,059","6,958","7,323","4,752","2,673"
Percent,"103,524",6.60%,6.00%,5.60%,5.10%,5.00%,15.40%,15.70%,13.80%,5.90%,6.70%,7.10%,4.60%,2.60%
"San Ramon city, California",,,,,,,,,,,,,,
Estimate,"76,132","4,335","7,733","7,281","5,217","2,095","6,019","15,069","13,019","4,218","3,369","4,540","2,677",560
Percent,"76,132",5.70%,10.20%,9.60%,6.90%,2.80%,7.90%,19.80%,17.10%,5.50%,4.40%,6.00%,3.50%,0.70%
"Santa Ana city, California",,,,,,,,,,,,,,
Estimate,"335,423","25,652","28,793","27,273","23,784","27,191","56,710","48,286","40,345","16,467","13,158","15,644","8,597","3,523"
Percent,"335,423",7.60%,8.60%,8.10%,7.10%,8.10%,16.90%,14.40%,12.00%,4.90%,3.90%,4.70%,2.60%,1.10%
"Santa Barbara city, California",,,,,,,,,,,,,,
Estimate,"91,852","4,456","4,469","3,816","4,620","10,518","15,046","11,261","9,639","5,523","5,368","8,079","5,323","3,734"
Percent,"91,852",4.90%,4.90%,4.20%,5.00%,11.50%,16.40%,12.30%,10.50%,6.00%,5.80%,8.80%,5.80%,4.10%
"Santa Clara city, California",,,,,,,,,,,,,,
Estimate,"126,216","7,220","7,556","6,406","7,118","9,264","25,073","21,343","14,473","7,438","6,378","7,738","3,347","2,862"
Percent,"126,216",5.70%,6.00%,5.10%,5.60%,7.30%,19.90%,16.90%,11.50%,5.90%,5.10%,6.10%,2.70%,2.30%
"Santa Clarita city, California",,,,,,,,,,,,,,
Estimate,"182,367","10,805","11,373","12,321","12,008","13,956","23,299","24,099","27,856","12,761","9,667","12,383","7,788","4,051"
Percent,"182,367",5.90%,6.20%,6.80%,6.60%,7.70%,12.80%,13.20%,15.30%,7.00%,5.30%,6.80%,4.30%,2.20%
"Santa Maria city, California",,,,,,,,,,,,,,
Estimate,"105,082","11,796","9,029","8,122","8,533","8,781","15,559","14,744","9,895","4,956","3,815","5,798","2,924","1,130"
Percent,"105,082",11.20%,8.60%,7.70%,8.10%,8.40%,14.80%,14.00%,9.40%,4.70%,3.60%,5.50%,2.80%,1.10%
"Santa Monica city, California",,,,,,,,,,,,,,
Estimate,"93,219","4,222","3,939","3,244","3,388","5,471","17,126","17,472","12,399","6,198","4,672","9,453","3,503","2,132"
Percent,"93,219",4.50%,4.20%,3.50%,3.60%,5.90%,18.40%,18.70%,13.30%,6.60%,5.00%,10.10%,3.80%,2.30%
"Santa Rosa city, California",,,,,,,,,,,,,,
Estimate,"174,989","11,901","11,220","10,329","8,916","10,774","27,681","22,251","22,366","10,782","11,016","16,288","7,638","3,827"
Percent,"174,989",6.80%,6.40%,5.90%,5.10%,6.20%,15.80%,12.70%,12.80%,6.20%,6.30%,9.30%,4.40%,2.20%
"Simi Valley city, California",,,,,,,,,,,,,,
Estimate,"126,766","7,523","5,611","10,110","9,083","9,504","15,945","16,364","21,478","8,751","7,448","9,634","3,325","1,990"
Percent,"126,766",5.90%,4.40%,8.00%,7.20%,7.50%,12.60%,12.90%,16.90%,6.90%,5.90%,7.60%,2.60%,1.60%
"South Gate city, California",,,,,,,,,,,,,,
Estimate,"96,399","6,671","7,815","6,836","7,730","8,554","13,668","14,598","10,549","6,169","5,332","5,208","2,316",953
Percent,"96,399",6.90%,8.10%,7.10%,8.00%,8.90%,14.20%,15.10%,10.90%,6.40%,5.50%,5.40%,2.40%,1.00%
"South San Francisco city, California",,,,,,,,,,,,,,
Estimate,"67,271","3,045","3,998","4,659","3,422","4,511","9,123","10,109","9,411","3,853","4,069","6,425","2,859","1,787"
Percent,"67,271",4.50%,5.90%,6.90%,5.10%,6.70%,13.60%,15.00%,14.00%,5.70%,6.00%,9.60%,4.20%,2.70%
"Stockton city, California",,,,,,,,,,,,,,
Estimate,"305,650","21,533","25,219","23,305","22,920","24,489","46,699","34,508","36,791","15,455","15,893","23,214","9,811","5,813"
Percent,"305,650",7.00%,8.30%,7.60%,7.50%,8.00%,15.30%,11.30%,12.00%,5.10%,5.20%,7.60%,3.20%,1.90%
"Sunnyvale city, California",,,,,,,,,,,,,,
Estimate,"151,760","10,666","10,591","7,478","5,995","7,302","32,295","26,077","18,219","7,858","6,214","9,964","6,739","2,362"
Percent,"151,760",7.00%,7.00%,4.90%,4.00%,4.80%,21.30%,17.20%,12.00%,5.20%,4.10%,6.60%,4.40%,1.60%
"Temecula city, California",,,,,,,,,,,,,,
Estimate,"112,026","6,326","8,543","10,687","8,671","7,277","15,732","13,636","17,381","5,865","5,586","8,191","2,939","1,192"
Percent,"112,026",5.60%,7.60%,9.50%,7.70%,6.50%,14.00%,12.20%,15.50%,5.20%,5.00%,7.30%,2.60%,1.10%
"Thousand Oaks city, California",,,,,,,,,,,,,,
Estimate,"129,329","5,513","7,282","9,828","9,354","7,235","10,977","14,890","22,700","9,061","8,375","13,892","7,479","2,743"
Percent,"129,329",4.30%,5.60%,7.60%,7.20%,5.60%,8.50%,11.50%,17.60%,7.00%,6.50%,10.70%,5.80%,2.10%
"Torrance city, California",,,,,,,,,,,,,,
Estimate,"148,468","8,398","8,511","8,160","9,432","10,817","17,084","18,660","25,005","10,752","7,797","12,123","7,401","4,328"
Percent,"148,468",5.70%,5.70%,5.50%,6.40%,7.30%,11.50%,12.60%,16.80%,7.20%,5.30%,8.20%,5.00%,2.90%
"Tracy city, California",,,,,,,,,,,,,,
Estimate,"87,093","4,322","6,205","7,813","7,401","7,165","10,014","12,876","13,890","5,581","4,176","5,321","1,530",799
Percent,"87,093",5.00%,7.10%,9.00%,8.50%,8.20%,11.50%,14.80%,15.90%,6.40%,4.80%,6.10%,1.80%,0.90%
"Turlock city, California",,,,,,,,,,,,,,
Estimate,"72,293","3,877","4,865","6,487","6,030","4,212","9,403","10,924","8,651","3,793","3,414","6,166","2,587","1,884"
Percent,"72,293",5.40%,6.70%,9.00%,8.30%,5.80%,13.00%,15.10%,12.00%,5.20%,4.70%,8.50%,3.60%,2.60%
"Tustin city, California",,,,,,,,,,,,,,
Estimate,"80,563","7,021","5,453","5,432","4,508","6,123","13,696","11,027","9,909","4,858","4,887","4,318","2,356",975
Percent,"80,563",8.70%,6.80%,6.70%,5.60%,7.60%,17.00%,13.70%,12.30%,6.00%,6.10%,5.40%,2.90%,1.20%
"Union City city, California",,,,,,,,,,,,,,
Estimate,"74,510","5,066","3,669","2,971","4,083","5,014","13,196","8,680","11,270","5,301","4,093","7,057","2,791","1,319"
Percent,"74,510",6.80%,4.90%,4.00%,5.50%,6.70%,17.70%,11.60%,15.10%,7.10%,5.50%,9.50%,3.70%,1.80%
"Upland city, California",,,,,,,,,,,,,,
Estimate,"76,447","5,115","3,822","5,029","3,544","5,711","10,267","9,703","10,035","6,006","4,797","7,301","3,726","1,391"
Percent,"76,447",6.70%,5.00%,6.60%,4.60%,7.50%,13.40%,12.70%,13.10%,7.90%,6.30%,9.60%,4.90%,1.80%
"Vacaville city, California",,,,,,,,,,,,,,
Estimate,"96,794","5,735","6,780","6,770","6,347","6,942","14,681","13,345","12,397","6,190","5,624","7,295","2,889","1,799"
Percent,"96,794",5.90%,7.00%,7.00%,6.60%,7.20%,15.20%,13.80%,12.80%,6.40%,5.80%,7.50%,3.00%,1.90%
"Vallejo city, California",,,,,,,,,,,,,,
Estimate,"121,269","8,172","6,494","5,204","6,947","9,255","19,829","13,322","16,598","8,382","8,238","12,029","4,822","1,977"
Percent,"121,269",6.70%,5.40%,4.30%,5.70%,7.60%,16.40%,11.00%,13.70%,6.90%,6.80%,9.90%,4.00%,1.60%
"Victorville city, California",,,,,,,,,,,,,,
Estimate,"122,236","10,633","10,952","8,952","10,977","8,141","20,516","14,304","15,130","5,329","4,847","8,653","3,095",707
Percent,"122,236",8.70%,9.00%,7.30%,9.00%,6.70%,16.80%,11.70%,12.40%,4.40%,4.00%,7.10%,2.50%,0.60%
"Visalia city, California",,,,,,,,,,,,,,
Estimate,"130,094","11,493","12,113","8,793","8,343","8,840","19,552","16,477","15,002","6,665","7,416","9,331","3,973","2,096"
Percent,"130,094",8.80%,9.30%,6.80%,6.40%,6.80%,15.00%,12.70%,11.50%,5.10%,5.70%,7.20%,3.10%,1.60%
"Vista city, California",,,,,,,,,,,,,,
Estimate,"100,884","8,669","9,565","7,113","6,781","8,893","16,828","11,521","14,045","4,376","2,675","6,300","3,054","1,064"
Percent,"100,884",8.60%,9.50%,7.10%,6.70%,8.80%,16.70%,11.40%,13.90%,4.30%,2.70%,6.20%,3.00%,1.10%
"Walnut Creek city, California",,,,,,,,,,,,,,
Estimate,"68,906","3,533","2,982","4,398","2,866","3,222","8,000","7,478","8,245","4,743","4,299","8,333","6,077","4,730"
Percent,"68,906",5.10%,4.30%,6.40%,4.20%,4.70%,11.60%,10.90%,12.00%,6.90%,6.20%,12.10%,8.80%,6.90%
"West Covina city, California",,,,,,,,,,,,,,
Estimate,"108,489","5,147","6,469","6,083","7,924","6,719","15,780","14,222","15,328","8,467","6,073","7,934","5,922","2,421"
Percent,"108,489",4.70%,6.00%,5.60%,7.30%,6.20%,14.50%,13.10%,14.10%,7.80%,5.60%,7.30%,5.50%,2.20%
"Westminster city, California",,,,,,,,,,,,,,
Estimate,"92,111","2,910","4,721","5,716","5,642","5,431","11,812","12,999","15,211","5,717","6,026","8,630","5,885","1,411"
Percent,"92,111",3.20%,5.10%,6.20%,6.10%,5.90%,12.80%,14.10%,16.50%,6.20%,6.50%,9.40%,6.40%,1.50%
"Whittier city, California",,,,,,,,,,,,,,
Estimate,"87,436","4,288","4,933","5,982","6,075","7,322","13,808","11,289","11,961","5,458","5,163","6,779","2,287","2,091"
Percent,"87,436",4.90%,5.60%,6.80%,6.90%,8.40%,15.80%,12.90%,13.70%,6.20%,5.90%,7.80%,2.60%,2.40%
"Yorba Linda city, California",,,,,,,,,,,,,,
Estimate,"67,966","2,845","4,031","4,375","5,319","3,615","5,944","7,252","10,367","6,800","6,182","7,153","2,672","1,411"
Percent,"67,966",4.20%,5.90%,6.40%,7.80%,5.30%,8.70%,10.70%,15.30%,10.00%,9.10%,10.50%,3.90%,2.10%
"Yuba City city, California",,,,,,,,,,,,,,
Estimate,"66,944","4,693","5,485","4,591","4,469","4,733","10,048","7,823","8,698","3,368","2,874","6,635","2,201","1,326"
Percent,"66,944",7.00%,8.20%,6.90%,6.70%,7.10%,15.00%,11.70%,13.00%,5.00%,4.30%,9.90%,3.30%,2.00%
