City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
Percent,"152,476",8.40%,6.30%,7.10%,8.40%,11.30%,15.50%,12.40%,11.60%,5.70%,5.20%,4.70%,2.30%,1.00%
"Rancho Cordova city, California",,,,,,,,,,,,,,
Estimate,"72,319","5,399","5,069","5,577","3,969","3,946","13,230","10,306","9,187","3,666","2,961","4,578","3,325","1,106"
Percent,"72,319",7.50%,7.00%,7.70%,5.50%,5.50%,18.30%,14.30%,12.70%,5.10%,4.10%,6.30%,4.60%,1.50%
"Rancho Cucamonga city, California",,,,,,,,,,,,,,
Estimate,"176,540","10,526","10,087","11,577","12,987","12,551","27,898","25,602","25,576","10,890","10,323","12,197","4,207","2,119"
Percent,"176,540",6.00%,5.70%,6.60%,7.40%,7.10%,15.80%,14.50%,14.50%,6.20%,5.80%,6.90%,2.40%,1.20%
"Redding city, California",,,,,,,,,,,,,,
Estimate,"91,797","6,149","4,306","5,750","6,171","6,929","12,689","10,098","10,282","5,977","6,196","9,783","5,857","1,610"
Percent,"91,797",6.70%,4.70%,6.30%,6.70%,7.50%,13.80%,11.00%,11.20%,6.50%,6.70%,10.70%,6.40%,1.80%
"Redlands city, California",,,,,,,,,,,,,,
Estimate,"71,288","5,101","5,010","3,838","4,461","5,541","12,121","8,969","7,034","3,703","4,182","6,076","2,894","2,358"
Percent,"71,288",7.20%,7.00%,5.40%,6.30%,7.80%,17.00%,12.60%,9.90%,5.20%,5.90%,8.50%,4.10%,3.30%
"Redondo Beach city, California",,,,,,,,,,,,,,
Estimate,"67,863","3,500","4,092","2,854","2,849","1,714","9,812","9,808","11,895","5,787","5,394","6,589","2,204","1,365"
Percent,"67,863",5.20%,6.00%,4.20%,4.20%,2.50%,14.50%,14.50%,17.50%,8.50%,7.90%,9.70%,3.20%,2.00%
"Redwood City city, California",,,,,,,,,,,,,,
Estimate,"84,965","5,185","5,356","4,155","3,938","6,480","16,542","11,475","12,554","5,681","3,948","5,018","2,717","1,916"
Percent,"84,965",6.10%,6.30%,4.90%,4.60%,7.60%,19.50%,13.50%,14.80%,6.70%,4.60%,5.90%,3.20%,2.30%
"Rialto city, California",,,,,,,,,,,,,,
Estimate,"103,300","8,107","8,095","8,883","9,453","9,647","17,296","11,885","12,277","5,198","3,994","5,226","2,376",863
Percent,"103,300",7.80%,7.80%,8.60%,9.20%,9.30%,16.70%,11.50%,11.90%,5.00%,3.90%,5.10%,2.30%,0.80%
"Richmond city, California",,,,,,,,,,,,,,
Estimate,"109,814","5,950","8,287","6,640","7,034","7,946","16,680","16,468","14,686","6,009","5,456","9,420","3,856","1,382"
Percent,"109,814",5.40%,7.50%,6.00%,6.40%,7.20%,15.20%,15.00%,13.40%,5.50%,5.00%,8.60%,3.50%,1.30%
"Riverside city, California",,,,,,,,,,,,,,
Estimate,"324,727","20,143","22,435","22,742","29,519","30,984","51,854","42,075","38,063","15,896","17,164","20,023","9,742","4,087"
Percent,"324,727",6.20%,6.90%,7.00%,9.10%,9.50%,16.00%,13.00%,11.70%,4.90%,5.30%,6.20%,3.00%,1.30%
"Roseville city, California",,,,,,,,,,,,,,
Estimate,"132,683","7,195","9,115","8,825","10,155","6,223","15,584","17,798","18,128","9,033","7,540","11,612","6,912","4,563"
Percent,"132,683",5.40%,6.90%,6.70%,7.70%,4.70%,11.70%,13.40%,13.70%,6.80%,5.70%,8.80%,5.20%,3.40%
"Sacramento city, California",,,,,,,,,,,,,,
Estimate,"495,200","30,149","30,983","31,856","30,296","34,199","92,883","64,225","58,731","27,788","28,105","40,137","16,734","9,114"
Percent,"495,200",6.10%,6.30%,6.40%,6.10%,6.90%,18.80%,13.00%,11.90%,5.60%,5.70%,8.10%,3.40%,1.80%
"Salinas city, California",,,,,,,,,,,,,,
Estimate,"157,224","13,191","12,750","13,452","12,148","11,874","25,921","24,797","15,782","7,412","6,430","8,433","3,451","1,583"
Percent,"157,224",8.40%,8.10%,8.60%,7.70%,7.60%,16.50%,15.80%,10.00%,4.70%,4.10%,5.40%,2.20%,1.00%
"San Bernardino city, California",,,,,,,,,,,,,,
Estimate,"216,242","20,789","18,130","17,031","19,847","19,579","31,325","26,596","23,784","12,494","8,413","11,055","5,303","1,896"
Percent,"216,242",9.60%,8.40%,7.90%,9.20%,9.10%,14.50%,12.30%,11.00%,5.80%,3.90%,5.10%,2.50%,0.90%
"San Buenaventura (Ventura) city, California",,,,,,,,,,,,,,
Estimate,"109,591","6,842","6,094","6,010","5,528","7,710","14,954","14,811","12,782","8,299","7,883","11,256","4,252","3,170"
Percent,"109,591",6.20%,5.60%,5.50%,5.00%,7.00%,13.60%,13.50%,11.70%,7.60%,7.20%,10.30%,3.90%,2.90%
"San Clemente city, California",,,,,,,,,,,,,,
Estimate,"65,304","3,196","3,791","4,878","2,804","3,218","6,642","8,222","10,294","4,935","5,387","7,157","3,294","1,486"
Percent,"65,304",4.90%,5.80%,7.50%,4.30%,4.90%,10.20%,12.60%,15.80%,7.60%,8.20%,11.00%,5.00%,2.30%
"San Diego city, California",,,,,,,,,,,,,,
Estimate,"1,406,622","81,880","76,488","74,165","87,620","128,638","264,385","196,307","173,422","77,454","73,349","98,211","49,788","24,915"
Percent,"1,406,622",5.80%,5.40%,5.30%,6.20%,9.10%,18.80%,14.00%,12.30%,5.50%,5.20%,7.00%,3.50%,1.80%
"San Francisco city, California",,,,,,,,,,,,,,
Estimate,"870,887","39,668","33,176","27,943","30,893","49,511","203,463","137,227","117,988","50,841","50,840","70,829","36,640","21,868"
Percent,"870,887",4.60%,3.80%,3.20%,3.50%,5.70%,23.40%,15.80%,13.50%,5.80%,5.80%,8.10%,4.20%,2.50%
"San Jose city, California",,,,,,,,,,,,,,
Estimate,"1,025,373","64,238","66,046","65,526","62,172","69,750","165,408","148,167","144,401","64,445","56,839","70,764","33,372","14,245"
Percent,"1,025,373",6.30%,6.40%,6.40%,6.10%,6.80%,16.10%,14.50%,14.10%,6.30%,5.50%,6.90%,3.30%,1.40%
"San Leandro city, California",,,,,,,,,,,,,,
Estimate,"90,460","5,028","5,107","4,693","4,133","4,827","12,552","10,273","15,183","5,437","7,199","8,644","4,450","2,934"
Percent,"90,460",5.60%,5.60%,5.20%,4.60%,5.30%,13.90%,11.40%,16.80%,6.00%,8.00%,9.60%,4.90%,3.20%
"San Marcos city, California",,,,,,,,,,,,,,
Estimate,"95,268","6,845","7,868","8,818","6,852","7,130","10,662","13,565","12,050","5,899","4,433","6,943","2,135","2,068"
Percent,"95,268",7.20%,8.30%,9.30%,7.20%,7.50%,11.20%,14.20%,12.60%,6.20%,4.70%,7.30%,2.20%,2.20%
"San Mateo city, California",,,,,,,,,,,,,,
Estimate,"103,959","6,265","5,802","5,461","5,017","5,920","17,417","16,099","14,684","5,931","4,762","9,161","4,685","2,755"
Percent,"103,959",6.00%,5.60%,5.30%,4.80%,5.70%,16.80%,15.50%,14.10%,5.70%,4.60%,8.80%,4.50%,2.70%
"San Ramon city, California",,,,,,,,,,,,,,
Estimate,"75,643","4,723","4,410","6,584","5,653","3,494","7,803","12,825","14,853","4,932","2,922","5,016","2,041",387
Percent,"75,643",6.20%,5.80%,8.70%,7.50%,4.60%,10.30%,17.00%,19.60%,6.50%,3.90%,6.60%,2.70%,0.50%
"Santa Ana city, California",,,,,,,,,,,,,,
Estimate,"334,236","24,161","27,111","23,263","24,622","28,634","58,280","46,397","42,469","17,105","14,280","15,748","8,967","3,199"
Percent,"334,236",7.20%,8.10%,7.00%,7.40%,8.60%,17.40%,13.90%,12.70%,5.10%,4.30%,4.70%,2.70%,1.00%
"Santa Barbara city, California",,,,,,,,,,,,,,
Estimate,"91,940","4,212","4,812","4,392","5,524","8,430","13,581","10,927","11,748","4,964","5,747","9,923","5,100","2,580"
Percent,"91,940",4.60%,5.20%,4.80%,6.00%,9.20%,14.80%,11.90%,12.80%,5.40%,6.30%,10.80%,5.50%,2.80%
"Santa Clara city, California",,,,,,,,,,,,,,
Estimate,"125,938","9,354","7,642","6,312","8,861","9,612","25,942","20,387","14,527","5,348","4,288","7,507","3,644","2,514"
Percent,"125,938",7.40%,6.10%,5.00%,7.00%,7.60%,20.60%,16.20%,11.50%,4.20%,3.40%,6.00%,2.90%,2.00%
"Santa Clarita city, California",,,,,,,,,,,,,,
Estimate,"181,960","8,901","11,565","11,169","12,572","13,265","21,883","23,261","30,692","13,562","11,207","13,425","7,871","2,587"
Percent,"181,960",4.90%,6.40%,6.10%,6.90%,7.30%,12.00%,12.80%,16.90%,7.50%,6.20%,7.40%,4.30%,1.40%
"Santa Maria city, California",,,,,,,,,,,,,,
Estimate,"106,286","10,178","9,718","7,700","6,349","10,566","16,090","14,259","11,004","4,855","3,723","6,070","3,836","1,938"
Percent,"106,286",9.60%,9.10%,7.20%,6.00%,9.90%,15.10%,13.40%,10.40%,4.60%,3.50%,5.70%,3.60%,1.80%
"Santa Monica city, California",,,,,,,,,,,,,,
Estimate,"92,478","2,354","4,045","3,440","3,501","4,275","21,861","11,044","12,553","6,159","6,921","8,975","4,583","2,767"
Percent,"92,478",2.50%,4.40%,3.70%,3.80%,4.60%,23.60%,11.90%,13.60%,6.70%,7.50%,9.70%,5.00%,3.00%
"Santa Rosa city, California",,,,,,,,,,,,,,
Estimate,"175,143","10,733","10,407","11,381","10,190","10,118","24,590","22,287","22,688","10,323","12,649","17,122","7,725","4,930"
Percent,"175,143",6.10%,5.90%,6.50%,5.80%,5.80%,14.00%,12.70%,13.00%,5.90%,7.20%,9.80%,4.40%,2.80%
"Simi Valley city, California",,,,,,,,,,,,,,
Estimate,"126,327","7,042","7,926","7,705","8,051","7,845","16,718","16,386","19,505","9,008","8,047","11,202","4,312","2,580"
Percent,"126,327",5.60%,6.30%,6.10%,6.40%,6.20%,13.20%,13.00%,15.40%,7.10%,6.40%,8.90%,3.40%,2.00%
"South Gate city, California",,,,,,,,,,,,,,
Estimate,"95,537","6,442","7,125","8,758","7,594","7,761","13,939","13,722","12,202","4,199","4,265","6,166","1,854","1,510"
Percent,"95,537",6.70%,7.50%,9.20%,7.90%,8.10%,14.60%,14.40%,12.80%,4.40%,4.50%,6.50%,1.90%,1.60%
"South San Francisco city, California",,,,,,,,,,,,,,
Estimate,"66,989","3,489","3,608","4,097","3,208","2,561","13,040","9,853","8,011","4,680","4,780","5,039","2,554","2,069"
Percent,"66,989",5.20%,5.40%,6.10%,4.80%,3.80%,19.50%,14.70%,12.00%,7.00%,7.10%,7.50%,3.80%,3.10%
"Stockton city, California",,,,,,,,,,,,,,
Estimate,"307,057","23,552","25,528","23,529","22,666","22,704","45,691","36,726","37,320","16,084","15,209","22,502","10,592","4,954"
Percent,"307,057",7.70%,8.30%,7.70%,7.40%,7.40%,14.90%,12.00%,12.20%,5.20%,5.00%,7.30%,3.40%,1.60%
"Sunnyvale city, California",,,,,,,,,,,,,,
Estimate,"152,762","11,615","10,250","7,580","6,871","6,921","31,186","25,628","20,084","8,719","6,022","9,286","5,521","3,079"
Percent,"152,762",7.60%,6.70%,5.00%,4.50%,4.50%,20.40%,16.80%,13.10%,5.70%,3.90%,6.10%,3.60%,2.00%
"Temecula city, California",,,,,,,,,,,,,,
Estimate,"113,062","8,979","7,396","9,604","9,463","7,776","14,547","13,591","19,276","6,434","5,202","7,115","2,870",809
Percent,"113,062",7.90%,6.50%,8.50%,8.40%,6.90%,12.90%,12.00%,17.00%,5.70%,4.60%,6.30%,2.50%,0.70%
"Thousand Oaks city, California",,,,,,,,,,,,,,
Estimate,"128,915","6,928","6,533","7,045","8,750","7,216","14,388","14,153","21,026","10,497","9,410","11,983","7,935","3,051"
Percent,"128,915",5.40%,5.10%,5.50%,6.80%,5.60%,11.20%,11.00%,16.30%,8.10%,7.30%,9.30%,6.20%,2.40%
"Torrance city, California",,,,,,,,,,,,,,
Estimate,"147,185","8,516","8,923","8,423","7,830","8,514","18,599","22,290","20,539","12,485","8,525","11,035","6,513","4,993"
Percent,"147,185",5.80%,6.10%,5.70%,5.30%,5.80%,12.60%,15.10%,14.00%,8.50%,5.80%,7.50%,4.40%,3.40%
"Tracy city, California",,,,,,,,,,,,,,
Estimate,"89,263","5,703","6,262","7,082","8,455","5,837","11,209","12,419","13,384","6,498","3,463","5,134","3,101",716
Percent,"89,263",6.40%,7.00%,7.90%,9.50%,6.50%,12.60%,13.90%,15.00%,7.30%,3.90%,5.80%,3.50%,0.80%
"Turlock city, California",,,,,,,,,,,,,,
Estimate,"72,808","3,882","3,422","5,670","6,132","4,514","12,508","6,858","10,309","4,374","3,891","6,067","3,662","1,519"
Percent,"72,808",5.30%,4.70%,7.80%,8.40%,6.20%,17.20%,9.40%,14.20%,6.00%,5.30%,8.30%,5.00%,2.10%
"Tustin city, California",,,,,,,,,,,,,,
Estimate,"80,379","4,907","4,810","5,449","5,228","5,330","15,426","12,338","10,344","4,731","3,649","4,981","1,990","1,196"
Percent,"80,379",6.10%,6.00%,6.80%,6.50%,6.60%,19.20%,15.30%,12.90%,5.90%,4.50%,6.20%,2.50%,1.50%
"Union City city, California",,,,,,,,,,,,,,
Estimate,"75,316","3,558","4,205","3,796","3,882","6,342","14,552","9,946","9,173","5,307","3,920","6,331","2,915","1,389"
Percent,"75,316",4.70%,5.60%,5.00%,5.20%,8.40%,19.30%,13.20%,12.20%,7.00%,5.20%,8.40%,3.90%,1.80%
"Upland city, California",,,,,,,,,,,,,,
Estimate,"76,691","3,000","4,651","4,779","4,512","7,975","8,232","9,573","11,358","4,596","5,429","7,426","3,267","1,893"
Percent,"76,691",3.90%,6.10%,6.20%,5.90%,10.40%,10.70%,12.50%,14.80%,6.00%,7.10%,9.70%,4.30%,2.50%
"Vacaville city, California",,,,,,,,,,,,,,
Estimate,"98,308","5,376","7,417","6,218","6,163","6,405","14,864","11,966","15,245","6,658","4,863","8,271","3,073","1,789"
Percent,"98,308",5.50%,7.50%,6.30%,6.30%,6.50%,15.10%,12.20%,15.50%,6.80%,4.90%,8.40%,3.10%,1.80%
"Vallejo city, California",,,,,,,,,,,,,,
Estimate,"121,316","8,501","5,681","7,501","6,366","8,456","17,030","16,632","14,627","8,175","9,696","11,929","4,549","2,173"
Percent,"121,316",7.00%,4.70%,6.20%,5.20%,7.00%,14.00%,13.70%,12.10%,6.70%,8.00%,9.80%,3.70%,1.80%
"Victorville city, California",,,,,,,,,,,,,,
Estimate,"122,283","10,082","11,078","10,429","9,866","7,828","16,997","17,230","15,911","5,792","5,431","6,449","3,902","1,288"
Percent,"122,283",8.20%,9.10%,8.50%,8.10%,6.40%,13.90%,14.10%,13.00%,4.70%,4.40%,5.30%,3.20%,1.10%
"Visalia city, California",,,,,,,,,,,,,,
Estimate,"131,069","12,879","11,709","11,667","8,774","8,395","18,058","15,848","14,470","7,234","6,432","9,496","4,255","1,852"
Percent,"131,069",9.80%,8.90%,8.90%,6.70%,6.40%,13.80%,12.10%,11.00%,5.50%,4.90%,7.20%,3.20%,1.40%
"Vista city, California",,,,,,,,,,,,,,
Estimate,"101,665","8,703","7,174","5,963","7,434","8,975","17,458","12,685","12,554","7,322","5,198","4,617","2,151","1,431"
Percent,"101,665",8.60%,7.10%,5.90%,7.30%,8.80%,17.20%,12.50%,12.30%,7.20%,5.10%,4.50%,2.10%,1.40%
"Walnut Creek city, California",,,,,,,,,,,,,,
Estimate,"69,127","3,154","2,834","2,975","3,548","3,222","9,580","8,547","7,494","3,479","4,715","9,493","6,260","3,826"
Percent,"69,127",4.60%,4.10%,4.30%,5.10%,4.70%,13.90%,12.40%,10.80%,5.00%,6.80%,13.70%,9.10%,5.50%
"West Covina city, California",,,,,,,,,,,,,,
Estimate,"107,840","6,983","6,910","7,793","5,811","8,406","15,943","14,376","12,499","7,342","7,251","8,359","3,719","2,448"
Percent,"107,840",6.50%,6.40%,7.20%,5.40%,7.80%,14.80%,13.30%,11.60%,6.80%,6.70%,7.80%,3.40%,2.30%
"Westminster city, California",,,,,,,,,,,,,,
Estimate,"91,565","4,567","5,804","5,429","4,944","6,163","12,067","10,246","12,550","6,684","7,449","8,233","5,429","2,000"
Percent,"91,565",5.00%,6.30%,5.90%,5.40%,6.70%,13.20%,11.20%,13.70%,7.30%,8.10%,9.00%,5.90%,2.20%
"Whittier city, California",,,,,,,,,,,,,,
Estimate,"86,892","5,432","5,401","6,326","7,071","5,675","11,366","11,602","12,189","5,534","4,664","7,278","3,293","1,061"
Percent,"86,892",6.30%,6.20%,7.30%,8.10%,6.50%,13.10%,13.40%,14.00%,6.40%,5.40%,8.40%,3.80%,1.20%
"Yorba Linda city, California",,,,,,,,,,,,,,
Estimate,"68,236","3,428","4,701","5,851","5,639","3,160","6,712","7,801","10,295","4,379","4,405","8,210","2,796",859
Percent,"68,236",5.00%,6.90%,8.60%,8.30%,4.60%,9.80%,11.40%,15.10%,6.40%,6.50%,12.00%,4.10%,1.30%
"Yuba City city, California",,,,,,,,,,,,,,
Estimate,"66,837","4,765","5,047","5,191","4,017","4,177","9,249","10,084","7,294","3,578","4,040","4,603","3,121","1,671"
Percent,"66,837",7.10%,7.60%,7.80%,6.00%,6.20%,13.80%,15.10%,10.90%,5.40%,6.00%,6.90%,4.70%,2.50%
